indicator_id,name,channel,signal_role,typical_lead,read_as,frequency,unit,series_ref,source_name,source_url,access,why_it_matters,collection
MACRO_M3_INSTR_NEW_ORDERS,"Census M3 new orders: electromedical, measuring & control instruments (SA)",Macro & industrial,leading,1-2 qtrs vs shipments,higher = bullish,monthly,USD_mn,FRED:A34KNO,US Census Bureau M3 via FRED,https://fred.stlouisfed.org/series/A34KNO,free,"Orders precede shipments/revenue; NAICS 3345 includes lab analytical instruments (also medical/industrial, so noisy).",auto
MACRO_M3_INSTR_UNFILLED,"Census M3 unfilled orders: electromedical, measuring & control instruments (SA)",Macro & industrial,leading,1-2 qtrs,higher = bullish,monthly,USD_mn,FRED:A34KUO,US Census Bureau M3 via FRED,https://fred.stlouisfed.org/series/A34KUO,free,Backlog cushion for instrument makers.,auto
MACRO_PPI_LAB_INSTR,PPI: analytical laboratory instrument manufacturing,Macro & industrial,context,n/a,context (pricing),monthly,index_dec1985=100,FRED:PCU334516334516,BLS PPI via FRED,https://fred.stlouisfed.org/series/PCU334516334516,free,Separates price from volume in vendor revenue; tariff pass-through shows here.,auto
MACRO_PPI_SCI_INSTR,PPI commodity: engineering & scientific instruments,Macro & industrial,context,n/a,context (pricing),monthly,index_dec1982=100,FRED:WPU1185,BLS PPI via FRED,https://fred.stlouisfed.org/series/WPU1185,free,Broader instrument pricing.,auto
MACRO_UST10Y,10-year Treasury yield (monthly avg),Macro & industrial,leading,2-4 qtrs (inverse),lower = bullish,monthly,pct,FRED:GS10,Federal Reserve H.15 via FRED,https://fred.stlouisfed.org/series/GS10,free,Long-duration biotech equity valuations and funding windows are rate-sensitive.,auto
REG_ANIMAL_TESTING,FDA/NIH moves to reduce animal testing (NAMs): event log,Regulatory,structural,4-12 qtrs,"mixed: bearish for animal models, bullish for in-vitro/organoid/organ-chip tools",event,text,"FDA roadmap (Apr 2025), NIH NAMs policy, FDA Modernization Act",FDA / NIH,https://www.fda.gov/,free,Shifts the preclinical toolkit mix away from animal models. GAP: not yet collected.,curated
REG_FDA_IND,New INDs received by FDA (CDER + CBER),Regulatory,lagging-confirm,-1 to -3 qtrs,higher = bullish,annual,count,FDA IND statistics,FDA,https://www.fda.gov/drugs/investigational-new-drug-ind-application,free,Output of IND-enabling preclinical work. GAP: not yet collected.,curated
CONF_CTGOV_PH1_STARTS_US,Industry-sponsored Phase 1 study starts with a US site,Clinical confirmation,lagging-confirm,-2 to -6 qtrs (lags preclinical),higher = bullish,monthly,count,ClinicalTrials.gov API v2 filter.advanced,ClinicalTrials.gov API v2,https://clinicaltrials.gov/data-api/api,free,Output of preclinical work; confirms whether earlier CRO/tools demand turned into programs.,auto
TOOLS_REV_AVTR_Q,AVTR quarterly reported revenue (XBRL),Outcome (tools revenue),target,n/a,outcome,quarterly,USD_mn,SEC XBRL companyconcept us-gaap revenue tags,SEC EDGAR XBRL API,https://www.sec.gov/edgar/sec-api-documentation,free,"The variable the leading indicators are meant to predict (reported, not organic).",auto
TOOLS_REV_A_Q,A quarterly reported revenue (XBRL),Outcome (tools revenue),target,n/a,outcome,quarterly,USD_mn,SEC XBRL companyconcept us-gaap revenue tags,SEC EDGAR XBRL API,https://www.sec.gov/edgar/sec-api-documentation,free,"The variable the leading indicators are meant to predict (reported, not organic).",auto
TOOLS_REV_BASKET_Q_YOY,"Tools & preclinical CRO basket revenue, y/y growth (reported)",Outcome (tools revenue),target,n/a,outcome,quarterly,pct,derived from TOOLS_REV_*_Q,SEC EDGAR XBRL API (derived),https://www.sec.gov/edgar/sec-api-documentation,free,Target series for back-testing the lead times above; M&A and FX distort it vs. organic growth.,auto
TOOLS_REV_BRKR_Q,BRKR quarterly reported revenue (XBRL),Outcome (tools revenue),target,n/a,outcome,quarterly,USD_mn,SEC XBRL companyconcept us-gaap revenue tags,SEC EDGAR XBRL API,https://www.sec.gov/edgar/sec-api-documentation,free,"The variable the leading indicators are meant to predict (reported, not organic).",auto
TOOLS_REV_CRL_Q,CRL quarterly reported revenue (XBRL),Outcome (tools revenue),target,n/a,outcome,quarterly,USD_mn,SEC XBRL companyconcept us-gaap revenue tags,SEC EDGAR XBRL API,https://www.sec.gov/edgar/sec-api-documentation,free,"The variable the leading indicators are meant to predict (reported, not organic).",auto
TOOLS_REV_DHR_Q,DHR quarterly reported revenue (XBRL),Outcome (tools revenue),target,n/a,outcome,quarterly,USD_mn,SEC XBRL companyconcept us-gaap revenue tags,SEC EDGAR XBRL API,https://www.sec.gov/edgar/sec-api-documentation,free,"The variable the leading indicators are meant to predict (reported, not organic).",auto
TOOLS_REV_MTD_Q,MTD quarterly reported revenue (XBRL),Outcome (tools revenue),target,n/a,outcome,quarterly,USD_mn,SEC XBRL companyconcept us-gaap revenue tags,SEC EDGAR XBRL API,https://www.sec.gov/edgar/sec-api-documentation,free,"The variable the leading indicators are meant to predict (reported, not organic).",auto
TOOLS_REV_RVTY_Q,RVTY quarterly reported revenue (XBRL),Outcome (tools revenue),target,n/a,outcome,quarterly,USD_mn,SEC XBRL companyconcept us-gaap revenue tags,SEC EDGAR XBRL API,https://www.sec.gov/edgar/sec-api-documentation,free,"The variable the leading indicators are meant to predict (reported, not organic).",auto
TOOLS_REV_TECH_Q,TECH quarterly reported revenue (XBRL),Outcome (tools revenue),target,n/a,outcome,quarterly,USD_mn,SEC XBRL companyconcept us-gaap revenue tags,SEC EDGAR XBRL API,https://www.sec.gov/edgar/sec-api-documentation,free,"The variable the leading indicators are meant to predict (reported, not organic).",auto
TOOLS_REV_TMO_Q,TMO quarterly reported revenue (XBRL),Outcome (tools revenue),target,n/a,outcome,quarterly,USD_mn,SEC XBRL companyconcept us-gaap revenue tags,SEC EDGAR XBRL API,https://www.sec.gov/edgar/sec-api-documentation,free,"The variable the leading indicators are meant to predict (reported, not organic).",auto
TOOLS_REV_WAT_Q,WAT quarterly reported revenue (XBRL),Outcome (tools revenue),target,n/a,outcome,quarterly,USD_mn,SEC XBRL companyconcept us-gaap revenue tags,SEC EDGAR XBRL API,https://www.sec.gov/edgar/sec-api-documentation,free,"The variable the leading indicators are meant to predict (reported, not organic).",auto
